iter	RMSE
0	15854.46881
1	15539.51852
2	15238.45495
3	14950.69492
4	14669.32736
5	14402.74218
6	14136.65799
7	13887.83879
8	13645.39431
9	13416.56142
10	13191.67108
11	12979.65306
12	12771.67657
13	12574.20137
14	12386.50162
15	12202.61515
16	12023.58035
17	11855.5629
18	11688.15731
19	11532.45653
20	11378.21349
21	11232.20823
22	11099.92652
23	10963.55002
24	10834.50202
25	10711.28022
26	10596.9565
27	10489.53291
28	10382.92629
29	10277.29604
30	10181.53374
31	10084.35829
32	9991.756583
33	9904.523156
34	9824.341032
35	9746.920551
36	9668.772042
37	9592.762811
38	9526.099683
39	9457.839075
40	9395.040795
41	9330.27541
42	9270.466336
43	9211.199778
44	9157.016566
45	9102.634338
46	9053.172679
47	8999.735057
48	8949.870664
49	8900.880579
50	8860.02874
51	8817.211894
52	8776.386162
53	8738.582091
54	8702.618735
55	8666.309439
56	8633.421585
57	8596.658223
58	8561.106647
59	8528.028943
60	8496.522203
61	8466.193369
62	8439.316872
63	8408.810509
64	8385.412791
65	8357.327884
66	8333.416402
67	8308.122017
68	8281.278144
69	8260.735177
70	8238.419526
71	8214.624312
72	8192.945401
73	8169.427563
74	8149.431981
75	8127.38287
76	8108.246181
77	8092.897857
78	8075.911429
79	8060.966439
80	8043.88216
81	8022.569741
82	8004.028949
83	7985.352595
84	7963.517398
85	7948.404586
86	7929.831381
87	7913.653675
88	7903.142303
89	7889.74024
90	7877.877273
91	7861.859691
92	7848.04419
93	7828.300601
94	7814.729907
95	7797.873223
96	7784.119017
97	7771.792618
98	7758.878055
99	7743.292517
100	7732.529713
101	7722.646527
102	7713.222665
103	7696.171365
104	7685.623088
105	7672.05281
106	7658.506668
107	7647.052633
108	7635.21223
109	7626.31393
110	7613.931242
111	7603.724566
112	7593.176437
113	7584.30223
114	7575.70709
115	7566.595715
116	7554.277461
117	7544.487492
118	7535.266937
119	7528.571574
120	7521.61148
121	7513.436236
122	7505.514803
123	7496.483082
124	7489.053545
125	7478.486712
126	7469.848209
127	7458.735711
128	7449.405658
129	7441.572632
130	7432.039052
131	7420.804507
132	7410.387447
133	7402.67059
134	7394.168994
135	7382.739927
136	7376.669305
137	7365.139715
138	7356.03048
139	7348.781978
140	7342.122373
141	7335.1145
142	7326.336479
143	7313.084658
144	7299.218412
145	7291.088401
146	7285.249655
147	7278.587752
148	7271.787243
149	7263.686844
150	7253.054492
151	7243.648047
152	7236.462346
153	7226.865773
154	7218.584278
