iter	Passed	Remaining
0	104	104757
1	198	99035
2	299	99668
3	430	107223
4	536	106794
5	616	102187
6	717	101764
7	794	98527
8	874	96249
9	964	95440
10	1040	93588
11	1122	92380
12	1199	91087
13	1291	90974
14	1370	90005
15	1460	89829
16	1546	89440
17	1648	89909
18	1730	89372
19	1805	88488
20	1892	88221
21	1962	87223
22	2031	86282
23	2106	85650
24	2183	85174
25	2260	84666
26	2331	84004
27	2402	83397
28	2476	82916
29	2554	82587
30	2628	82168
31	2711	82016
32	2786	81645
33	2856	81152
34	2932	80853
35	3010	80618
36	3079	80141
37	3177	80446
38	3240	79837
39	3303	79279
40	3367	78766
41	3432	78299
42	3514	78212
43	3583	77860
44	3797	80586
45	4037	83729
46	4152	84204
47	4227	83838
48	4318	83821
49	4534	86158
50	4701	87486
51	4782	87190
52	5023	89755
53	5087	89123
54	5196	89284
55	5423	91422
56	5501	91022
57	5567	90431
58	5730	91399
59	5958	93342
60	6053	93178
61	6114	92506
62	6191	92087
63	6253	91463
64	6320	90917
65	6384	90349
66	6453	89865
67	6519	89361
68	6586	88866
69	6653	88391
70	6725	88002
71	6789	87511
72	6849	86981
73	6918	86580
74	6981	86109
75	7047	85680
76	7117	85319
77	7201	85129
78	7296	85063
79	7364	84693
80	7437	84387
81	7517	84154
82	7598	83945
83	7688	83840
84	7767	83613
85	7849	83427
86	7929	83212
87	8007	82988
88	8077	82677
89	8154	82446
90	8226	82174
91	8301	81935
92	8374	81678
93	8450	81445
94	8543	81387
95	8620	81177
96	8704	81029
97	8802	81020
98	8878	80803
99	8960	80645
100	9063	80675
101	9165	80688
102	9247	80532
103	9322	80318
104	9412	80233
105	9506	80175
106	9606	80175
107	9709	80197
108	9799	80102
109	9979	80746
110	10134	81165
111	10214	80988
112	10300	80852
113	10376	80642
114	10447	80403
115	10515	80137
116	10590	79925
117	10673	79779
118	10743	79534
119	10833	79444
120	10917	79313
121	11002	79184
122	11094	79105
123	11180	78981
124	11253	78777
125	11317	78502
126	11373	78178
127	11440	77938
128	11500	77650
129	11564	77390
130	11644	77243
131	11744	77227
132	11836	77159
133	11903	76926
134	11984	76790
135	12067	76663
136	12147	76517
137	12214	76296
138	12289	76122
139	12356	75902
140	12423	75683
141	12497	75511
142	12562	75288
143	12641	75147
144	12704	74910
145	12763	74658
146	12824	74415
147	12949	74545
148	13022	74376
149	13119	74344
150	13203	74238
151	13272	74047
152	13333	73813
153	13393	73579
154	13472	73446
155	13558	73354
156	13628	73175
157	13707	73048
158	13794	72965
159	13877	72858
160	13951	72705
161	14025	72551
162	14091	72361
163	14165	72207
164	14242	72077
165	14303	71861
166	14365	71654
167	14423	71428
168	14488	71243
169	14559	71086
170	14625	70902
171	14689	70713
172	14750	70512
173	14822	70362
174	14883	70162
175	14946	69976
176	15024	69861
177	15090	69688
178	15175	69605
179	15251	69479
180	15326	69349
181	15397	69203
182	15470	69066
183	15543	68930
184	15615	68793
185	15701	68715
186	15770	68565
187	15860	68506
188	15949	68438
189	16019	68291
190	16100	68197
191	16184	68108
192	16255	67969
193	16336	67873
194	16417	67772
195	16516	67750
196	16617	67736
197	16701	67647
198	16793	67594
199	16869	67476
200	16970	67458
201	17060	67395
202	17133	67266
203	17216	67178
204	17294	67070
205	17372	66961
206	17455	66872
207	17549	66823
208	17653	66813
209	17730	66700
210	17802	66567
211	17899	66531
212	17979	66432
213	18057	66325
214	18127	66184
215	18212	66105
216	18302	66040
217	18390	65968
218	18468	65863
219	18539	65729
220	18605	65582
221	18715	65589
222	18791	65475
223	18878	65400
224	18961	65312
225	19036	65195
226	19111	65078
227	19172	64917
228	19244	64792
229	19310	64648
230	19370	64484
231	19430	64320
232	19501	64194
233	19584	64108
234	19683	64077
235	19767	63992
236	19841	63879
237	19907	63738
238	19975	63603
239	20077	63579
240	20147	63452
241	20245	63414
242	20309	63267
243	20371	63119
244	20441	62993
245	20506	62853
246	20566	62697
247	20663	62657
248	20735	62539
249	20825	62475
250	20895	62354
251	20953	62196
252	21028	62088
253	21089	61938
254	21151	61795
255	21215	61656
256	21275	61507
257	21350	61404
258	21422	61289
259	21496	61181
260	21575	61088
261	21648	60978
262	21729	60892
263	21794	60759
264	21859	60628
265	21930	60513
266	22005	60412
267	22079	60305
268	22145	60181
269	22222	60082
270	22288	59956
271	22355	59833
272	22422	59711
273	22490	59592
274	22553	59459
275	22646	59404
276	22740	59354
277	22805	59228
278	22865	59089
279	22932	58969
280	22990	58826
281	23057	58707
282	23123	58586
283	23206	58507
284	23280	58406
285	23351	58297
286	23422	58187
287	23492	58078
288	23560	57964
289	23637	57871
290	23721	57795
291	23826	57770
292	23920	57720
293	24016	57671
294	24106	57609
295	24200	57556
296	24284	57481
297	24378	57428
298	24460	57347
299	24548	57280
300	24632	57203
301	24714	57122
302	24792	57031
303	24882	56967
304	24955	56866
305	25048	56809
